first_name,middle_name,last_name,team_abrv,MLC_strike_rate,MLC_average,MLC_fours,MLC_sixes,MLC_wickets,MLC_average,MLC_economy,MLC_strike_rate
Marcus,N/A,Stoinis,SOR,121.97,15.13,20,21,26,27.76,9.08,18.3
Dasun,N/A,Shanaka,SOR,191.02,29.8,10,13,7,31.71,12.1,15.7
Marco ,N/A,Jansen,WAF,132.87,19.4,4,6,24,25.95,8.69,17.9
Glenn,N/A,Maxwell,WAF,166.12,27.46,17,37,22,18.59,7.79,14.3
Donovan,N/A,Ferreira,TSK,190.54,42.55,20,31,4,47,8.17,34.5
Wiaan,N/A,Mulder,TSK,156.96,41.33,5,9,3,58.66,10.66,33
Matthew ,N/A,Short,SFU,156.13,35.43,65,48,17,18.29,7.09,15.4
Hassan,N/A,Khan,SFU,162.67,28.87,31,34,23,24.86,8.8,16.9
Jason,N/A,Holder,LAKR,142.26,23,6,12,12,32.83,8.95,22
Sunil,N/A,Narine,LAKR,123.14,8.31,6,11,19,27.68,6.33,26.2
Corbin,N/A,Bosch,MINY,127.65,30,4,3,8,15.25,7.62,12
Kieron,N/A,Pollard,MINY,156.57,31.31,40,40,16,26.25,8.78,17.9
