first_name,middle_name,last_name,team_abrv,MLC_wickets,MLC_average,MLC_economy,MLC_strike_rate
Ottneil,N/A,Baartman,SOR,14,15.71,8.8,10.7
Jasdeep,N/A,Singh,SOR,22,23.86,9.48,15
Saurabh,N/A,Netravalkar,WAF,37,22.27,8.35,16
Amila,N/A,Aponso,WAF,1,78,8.66,54
Akeal,N/A,Hosein,TSK,23,16.08,7.25,13.3
Adam,N/A,Milne,TSK,21,13.95,7.41,11.2
Peter,N/A,Siddle,SFU,6,16.16,8.81,11
Haris,N/A,Rauf,SFU,29,27.62,8.85,18.7
Shadley,Van ,Schalkwyk,LAKR,20,24.45,9.84,14.9
Carmi,Le,Roux,LAKR,13,34.15,8.76,23.3
Trent,N/A,Boult,MINY,51,18.92,8.1,14
Rushil,N/A,Ugarkar,MINY,16,24.93,8.55,17.5
